SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
RSAMB009,MBG_IDS,ORDER_2 (Simple),1,0,MaxStimulusTime,No,22,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,937998,961016,15390,0,0,15390,0,943016,961016,LookCenter,943105,948543,5438,LookCenter,949045,952836,3791,LookCenter,953688,959849,6161
RSAMB009,MBG_IDS,ORDER_2 (Simple),2,0,MaxStimulusTime,No,23,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,961017,979594,15111,0,0,15111,0,961593,979594,LookCenter,961734,964337,2603,LookCenter,965134,968503,3369,LookCenter,970072,977702,7630,LookCenter,978084,979593,1509
RSAMB009,MBG_IDS,ORDER_2 (Simple),3,0,MaxStimulusTime,No,24,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,979595,998495,17932,0,0,17932,0,980494,998495,LookCenter,980563,998495,17932
RSAMB009,MBG_IDS,ORDER_2 (Simple),4,0,MaxStimulusTime,No,25,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,998496,1017347,16516,0,0,16516,0,999347,1017347,LookCenter,999461,1008009,8548,LookCenter,1008107,1013129,5022,LookCenter,1014401,1017347,2946
RSAMB009,MBG_IDS,ORDER_2 (Simple),5,0,MaxStimulusTime,No,26,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1017348,1036171,17862,0,0,17862,0,1018171,1036171,LookCenter,1018309,1036171,17862
RSAMB009,MBG_IDS,ORDER_2 (Simple),6,0,MaxStimulusTime,No,27,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1036173,1055906,17438,0,0,17438,0,1037905,1055906,LookCenter,1037979,1044365,6386,LookCenter,1044854,1055906,11052
RSAMB009,MBG_IDS,ORDER_2 (Simple),7,0,MaxStimulusTime,No,28,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1055907,1075354,16893,0,0,16893,0,1057353,1075354,LookCenter,1057523,1072440,14917,LookCenter,1073378,1075354,1976
RSAMB009,MBG_IDS,ORDER_2 (Simple),8,0,MaxLookAwayTime,No,29,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1075355,1087574,8247,0,0,8247,0,1076796,1087574,LookCenter,1076971,1083060,6089,LookCenter,1083416,1085574,2158
RSAMB009,MBG_IDS,ORDER_2 (Simple),9,0,MaxLookAwayTime,No,30,ADS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1087576,1094838,4241,0,0,4241,0,1088243,1094838,LookCenter,1088597,1092838,4241
RSAMB009,MBG_IDS,ORDER_2 (Simple),10,0,MaxLookAwayTime,No,31,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1094840,1100855,2629,0,0,2629,0,1096021,1100855,LookCenter,1096226,1098855,2629
RSAMB009,MBG_IDS,ORDER_2 (Simple),11,0,MaxLookAwayTime,No,32,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1100857,1106244,2631,0,0,2631,0,1101439,1106244,LookCenter,1101439,1101541,102,LookCenter,1101594,1103000,1406,LookCenter,1103107,1103157,50,LookCenter,1103169,1104242,1073
RSAMB009,MBG_IDS,ORDER_2 (Simple),12,0,MaxLookAwayTime,No,33,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1106245,1126928,10658,0,0,10658,0,1109146,1126928,LookCenter,1109332,1112861,3529,LookCenter,1114758,1116617,1859,LookCenter,1118430,1120837,2407,LookCenter,1121770,1123750,1980,LookCenter,1124045,1124928,883
RSAMB009,MBG_IDS,ORDER_2 (Simple),13,0,MaxStimulusTime,No,34,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1126930,1146618,12910,0,0,12910,0,1128618,1146618,LookCenter,1128793,1131431,2638,LookCenter,1131837,1134114,2277,LookCenter,1135367,1137156,1789,LookCenter,1138362,1139453,1091,LookCenter,1140075,1140637,562,LookCenter,1141424,1143159,1735,LookCenter,1143800,1146618,2818
RSAMB009,MBG_IDS,ORDER_2 (Simple),14,0,MaxLookAwayTime,No,35,IDS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1146620,1153982,2779,0,201,2578,0,1148220,1153982,LookLeft,1148423,1148597,174,LookLeft,1148627,1148654,27,LookCenter,1148835,1150103,1268,LookCenter,1150670,1151980,1310
RSAMB009,MBG_IDS,ORDER_2 (Simple),15,0,MaxLookAwayTime,No,36,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1153984,1159605,2113,0,0,2113,0,1155370,1159605,LookCenter,1155488,1157601,2113
RSAMB009,MBG_IDS,ORDER_2 (Simple),16,0,MaxLookAwayTime,No,37,IDS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1159606,1166351,3444,0,0,3444,0,1160768,1166351,LookCenter,1160907,1164351,3444
RSAMB009,MBG_IDS,ORDER_2 (Simple),17,0,MaxLookAwayTime,No,38,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1166353,1173786,1238,0,0,1238,0,1170467,1173786,LookCenter,1170547,1171785,1238
RSAMB009,MBG_IDS,ORDER_2 (Simple),18,0,MaxLookAwayTime,No,39,IDS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1173786,1179823,2813,0,0,2813,0,1174884,1179823,LookCenter,1175009,1177822,2813

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,1,0,1,TRUE,LookCenter,943105,948543,5438
MBG_IDS,1,0,2,TRUE,LookCenter,949045,952836,3791
MBG_IDS,1,0,3,TRUE,LookCenter,953688,959849,6161
MBG_IDS,2,0,1,TRUE,LookCenter,961734,964337,2603
MBG_IDS,2,0,2,TRUE,LookCenter,965134,968503,3369
MBG_IDS,2,0,3,TRUE,LookCenter,970072,977702,7630
MBG_IDS,2,0,4,TRUE,LookCenter,978084,979593,1509
MBG_IDS,3,0,1,TRUE,LookCenter,980563,998495,17932
MBG_IDS,4,0,1,TRUE,LookCenter,999461,1008009,8548
MBG_IDS,4,0,2,TRUE,LookCenter,1008107,1013129,5022
MBG_IDS,4,0,3,TRUE,LookCenter,1014401,1017347,2946
MBG_IDS,5,0,1,TRUE,LookCenter,1018309,1036171,17862
MBG_IDS,6,0,1,TRUE,LookCenter,1037979,1044365,6386
MBG_IDS,6,0,2,TRUE,LookCenter,1044854,1055906,11052
MBG_IDS,7,0,1,TRUE,LookCenter,1057523,1072440,14917
MBG_IDS,7,0,2,TRUE,LookCenter,1073378,1075354,1976
MBG_IDS,8,0,1,TRUE,LookCenter,1076971,1083060,6089
MBG_IDS,8,0,2,TRUE,LookCenter,1083416,1085574,2158
MBG_IDS,9,0,1,TRUE,LookCenter,1088597,1092838,4241
MBG_IDS,10,0,1,TRUE,LookCenter,1096226,1098855,2629
MBG_IDS,11,0,1,TRUE,LookCenter,1101439,1101541,102
MBG_IDS,11,0,2,TRUE,LookCenter,1101594,1103000,1406
MBG_IDS,11,0,3,TRUE,LookCenter,1103107,1103157,50
MBG_IDS,11,0,4,TRUE,LookCenter,1103169,1104242,1073
MBG_IDS,12,0,1,TRUE,LookCenter,1109332,1112861,3529
MBG_IDS,12,0,2,TRUE,LookCenter,1114758,1116617,1859
MBG_IDS,12,0,3,TRUE,LookCenter,1118430,1120837,2407
MBG_IDS,12,0,4,TRUE,LookCenter,1121770,1123750,1980
MBG_IDS,12,0,5,TRUE,LookCenter,1124045,1124928,883
MBG_IDS,13,0,1,TRUE,LookCenter,1128793,1131431,2638
MBG_IDS,13,0,2,TRUE,LookCenter,1131837,1134114,2277
MBG_IDS,13,0,3,TRUE,LookCenter,1135367,1137156,1789
MBG_IDS,13,0,4,TRUE,LookCenter,1138362,1139453,1091
MBG_IDS,13,0,5,TRUE,LookCenter,1140075,1140637,562
MBG_IDS,13,0,6,TRUE,LookCenter,1141424,1143159,1735
MBG_IDS,13,0,7,TRUE,LookCenter,1143800,1146618,2818
MBG_IDS,14,0,1,TRUE,LookLeft,1148423,1148597,174
MBG_IDS,14,0,2,TRUE,LookLeft,1148627,1148654,27
MBG_IDS,14,0,3,TRUE,LookCenter,1148835,1150103,1268
MBG_IDS,14,0,4,TRUE,LookCenter,1150670,1151980,1310
MBG_IDS,15,0,1,TRUE,LookCenter,1155488,1157601,2113
MBG_IDS,16,0,1,TRUE,LookCenter,1160907,1164351,3444
MBG_IDS,17,0,1,TRUE,LookCenter,1170547,1171785,1238
MBG_IDS,18,0,1,TRUE,LookCenter,1175009,1177822,2813
