SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
MBG-19,MBG_IDS,ORDER_2 (none),1,0,AGAbort,No,0,,,,,,,796011,832626,0,0,0,0,0,0,832626
MBG-19,MBG_IDS,ORDER_2 (none),1,1,MaxStimulusTime,No,22,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,832626,852258,4598,0,0,4598,0,834259,852258,LookCenter,845887,849693,3806,LookCenter,850810,851602,792
MBG-19,MBG_IDS,ORDER_2 (none),2,0,MaxLookAwayTime,No,23,Train_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,852266,866069,6236,0,0,6236,0,854791,866069,LookCenter,854791,856473,1682,LookCenter,857090,858552,1462,LookCenter,859085,860427,1342,LookCenter,861430,863021,1591,LookCenter,863908,864067,159
MBG-19,MBG_IDS,ORDER_2 (none),3,0,MaxLookAwayTime,No,24,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,866071,881011,7061,0,0,7061,0,869812,881011,LookCenter,870554,875630,5076,LookCenter,876428,878124,1696,LookCenter,878722,879011,289
MBG-19,MBG_IDS,ORDER_2 (none),4,0,MaxStimulusTime,No,25,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,881019,904810,9379,0,0,9379,0,886809,904810,LookCenter,887014,892402,5388,LookCenter,893137,893929,792,LookCenter,895020,895400,380,LookCenter,896086,896235,149,LookCenter,898039,899076,1037,LookCenter,900281,901419,1138,LookCenter,902515,902952,437,LookCenter,904752,904810,58
MBG-19,MBG_IDS,ORDER_2 (none),5,0,MaxLookAwayTime,No,26,ADS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,904821,924470,5613,0,0,5613,0,912612,924470,LookCenter,912943,914858,1915,LookCenter,915549,916615,1066,LookCenter,917947,918673,726,LookCenter,919792,920770,978,LookCenter,921542,922470,928
MBG-19,MBG_IDS,ORDER_2 (none),6,0,MaxLookAwayTime,No,27,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,924479,933240,2762,0,0,2762,0,927132,933240,LookCenter,927548,929699,2151,LookCenter,930629,931240,611
MBG-19,MBG_IDS,ORDER_2 (none),7,0,MaxLookAwayTime,No,28,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,933249,942180,1665,0,0,1665,0,937982,942180,LookCenter,938515,940180,1665
MBG-19,MBG_IDS,ORDER_2 (none),8,0,MaxLookAwayTime,No,29,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,942187,960983,3617,0,0,3617,0,954301,960983,LookCenter,954899,957105,2206,LookCenter,957572,958983,1411
MBG-19,MBG_IDS,ORDER_2 (none),9,0,MaxStimulusTime,No,30,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,960992,985617,10288,0,0,10288,0,967616,985617,LookCenter,968666,971030,2364,LookCenter,971477,974540,3063,LookCenter,975012,975833,821,LookCenter,976491,978141,1650,LookCenter,978673,979370,697,LookCenter,980200,980516,316,LookCenter,981471,981759,288,LookCenter,982498,982883,385,LookCenter,983795,984279,484,LookCenter,985397,985617,220
MBG-19,MBG_IDS,ORDER_2 (none),10,0,MaxStimulusTime,No,31,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,985624,1011609,7788,0,0,7788,0,993612,1011609,LookCenter,994270,995490,1220,LookCenter,996342,998308,1966,LookCenter,998882,999612,730,LookCenter,1000962,1001660,698,LookCenter,1002687,1003807,1120,LookCenter,1004691,1005323,632,LookCenter,1006099,1006547,448,LookCenter,1007505,1007781,276,LookCenter,1009285,1009786,501,LookCenter,1010806,1011003,197
MBG-19,MBG_IDS,ORDER_2 (none),11,0,MaxLookAwayTime,No,32,IDS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1011620,1045119,1381,0,0,1381,0,1037477,1045119,LookCenter,1038286,1038825,539,LookCenter,1039755,1040185,430,LookCenter,1041313,1041529,216,LookCenter,1042922,1043118,196
MBG-19,MBG_IDS,ORDER_2 (none),12,0,MaxLookAwayTime,No,33,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1045129,1095319,4935,0,0,4935,0,1083318,1095319,LookCenter,1084215,1086166,1951,LookCenter,1086764,1087846,1082,LookCenter,1088637,1089305,668,LookCenter,1090659,1091710,1051,LookCenter,1093135,1093318,183
MBG-19,MBG_IDS,ORDER_2 (none),13,0,MaxStimulusTime,No,34,IDS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1095333,1118042,5882,0,0,5882,0,1100043,1118042,LookCenter,1100626,1101319,693,LookCenter,1101997,1102419,422,LookCenter,1103421,1103805,384,LookCenter,1104743,1105072,329,LookCenter,1105896,1106405,509,LookCenter,1107045,1107854,809,LookCenter,1108362,1108609,247,LookCenter,1109468,1109776,308,LookCenter,1110619,1111196,577,LookCenter,1112105,1112522,417,LookCenter,1113655,1114066,411,LookCenter,1115129,1115578,449,LookCenter,1116480,1116807,327
MBG-19,MBG_IDS,ORDER_2 (none),14,0,MaxStimulusTime,No,35,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1118051,1141352,5186,0,0,5186,0,1123354,1141352,LookCenter,1123686,1124667,981,LookCenter,1125384,1125839,455,LookCenter,1126610,1127009,399,LookCenter,1127952,1128375,423,LookCenter,1129525,1129675,150,LookCenter,1130604,1130790,186,LookCenter,1131972,1132259,287,LookCenter,1133386,1133530,144,LookCenter,1134311,1134846,535,LookCenter,1135767,1136196,429,LookCenter,1137156,1137309,153,LookCenter,1139026,1139324,298,LookCenter,1140313,1141059,746
MBG-19,MBG_IDS,ORDER_2 (none),15,0,MaxLookAwayTime,No,36,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1141365,1152273,3095,0,0,3095,0,1143858,1152273,LookCenter,1144360,1145665,1305,LookCenter,1146197,1147101,904,LookCenter,1148373,1148873,500,LookCenter,1149886,1150272,386

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,1,1,1,TRUE,LookCenter,845887,849693,3806
MBG_IDS,1,1,2,TRUE,LookCenter,850810,851602,792
MBG_IDS,2,0,1,TRUE,LookCenter,854791,856473,1682
MBG_IDS,2,0,2,TRUE,LookCenter,857090,858552,1462
MBG_IDS,2,0,3,TRUE,LookCenter,859085,860427,1342
MBG_IDS,2,0,4,TRUE,LookCenter,861430,863021,1591
MBG_IDS,2,0,5,TRUE,LookCenter,863908,864067,159
MBG_IDS,3,0,1,TRUE,LookCenter,870554,875630,5076
MBG_IDS,3,0,2,TRUE,LookCenter,876428,878124,1696
MBG_IDS,3,0,3,TRUE,LookCenter,878722,879011,289
MBG_IDS,4,0,1,TRUE,LookCenter,887014,892402,5388
MBG_IDS,4,0,2,TRUE,LookCenter,893137,893929,792
MBG_IDS,4,0,3,TRUE,LookCenter,895020,895400,380
MBG_IDS,4,0,4,TRUE,LookCenter,896086,896235,149
MBG_IDS,4,0,5,TRUE,LookCenter,898039,899076,1037
MBG_IDS,4,0,6,TRUE,LookCenter,900281,901419,1138
MBG_IDS,4,0,7,TRUE,LookCenter,902515,902952,437
MBG_IDS,4,0,8,TRUE,LookCenter,904752,904810,58
MBG_IDS,5,0,1,TRUE,LookCenter,912943,914858,1915
MBG_IDS,5,0,2,TRUE,LookCenter,915549,916615,1066
MBG_IDS,5,0,3,TRUE,LookCenter,917947,918673,726
MBG_IDS,5,0,4,TRUE,LookCenter,919792,920770,978
MBG_IDS,5,0,5,TRUE,LookCenter,921542,922470,928
MBG_IDS,6,0,1,TRUE,LookCenter,927548,929699,2151
MBG_IDS,6,0,2,TRUE,LookCenter,930629,931240,611
MBG_IDS,7,0,1,TRUE,LookCenter,938515,940180,1665
MBG_IDS,8,0,1,TRUE,LookCenter,954899,957105,2206
MBG_IDS,8,0,2,TRUE,LookCenter,957572,958983,1411
MBG_IDS,9,0,1,TRUE,LookCenter,968666,971030,2364
MBG_IDS,9,0,2,TRUE,LookCenter,971477,974540,3063
MBG_IDS,9,0,3,TRUE,LookCenter,975012,975833,821
MBG_IDS,9,0,4,TRUE,LookCenter,976491,978141,1650
MBG_IDS,9,0,5,TRUE,LookCenter,978673,979370,697
MBG_IDS,9,0,6,TRUE,LookCenter,980200,980516,316
MBG_IDS,9,0,7,TRUE,LookCenter,981471,981759,288
MBG_IDS,9,0,8,TRUE,LookCenter,982498,982883,385
MBG_IDS,9,0,9,TRUE,LookCenter,983795,984279,484
MBG_IDS,9,0,10,TRUE,LookCenter,985397,985617,220
MBG_IDS,10,0,1,TRUE,LookCenter,994270,995490,1220
MBG_IDS,10,0,2,TRUE,LookCenter,996342,998308,1966
MBG_IDS,10,0,3,TRUE,LookCenter,998882,999612,730
MBG_IDS,10,0,4,TRUE,LookCenter,1000962,1001660,698
MBG_IDS,10,0,5,TRUE,LookCenter,1002687,1003807,1120
MBG_IDS,10,0,6,TRUE,LookCenter,1004691,1005323,632
MBG_IDS,10,0,7,TRUE,LookCenter,1006099,1006547,448
MBG_IDS,10,0,8,TRUE,LookCenter,1007505,1007781,276
MBG_IDS,10,0,9,TRUE,LookCenter,1009285,1009786,501
MBG_IDS,10,0,10,TRUE,LookCenter,1010806,1011003,197
MBG_IDS,11,0,1,TRUE,LookCenter,1038286,1038825,539
MBG_IDS,11,0,2,TRUE,LookCenter,1039755,1040185,430
MBG_IDS,11,0,3,TRUE,LookCenter,1041313,1041529,216
MBG_IDS,11,0,4,TRUE,LookCenter,1042922,1043118,196
MBG_IDS,12,0,1,TRUE,LookCenter,1084215,1086166,1951
MBG_IDS,12,0,2,TRUE,LookCenter,1086764,1087846,1082
MBG_IDS,12,0,3,TRUE,LookCenter,1088637,1089305,668
MBG_IDS,12,0,4,TRUE,LookCenter,1090659,1091710,1051
MBG_IDS,12,0,5,TRUE,LookCenter,1093135,1093318,183
MBG_IDS,13,0,1,TRUE,LookCenter,1100626,1101319,693
MBG_IDS,13,0,2,TRUE,LookCenter,1101997,1102419,422
MBG_IDS,13,0,3,TRUE,LookCenter,1103421,1103805,384
MBG_IDS,13,0,4,TRUE,LookCenter,1104743,1105072,329
MBG_IDS,13,0,5,TRUE,LookCenter,1105896,1106405,509
MBG_IDS,13,0,6,TRUE,LookCenter,1107045,1107854,809
MBG_IDS,13,0,7,TRUE,LookCenter,1108362,1108609,247
MBG_IDS,13,0,8,TRUE,LookCenter,1109468,1109776,308
MBG_IDS,13,0,9,TRUE,LookCenter,1110619,1111196,577
MBG_IDS,13,0,10,TRUE,LookCenter,1112105,1112522,417
MBG_IDS,13,0,11,TRUE,LookCenter,1113655,1114066,411
MBG_IDS,13,0,12,TRUE,LookCenter,1115129,1115578,449
MBG_IDS,13,0,13,TRUE,LookCenter,1116480,1116807,327
MBG_IDS,14,0,1,TRUE,LookCenter,1123686,1124667,981
MBG_IDS,14,0,2,TRUE,LookCenter,1125384,1125839,455
MBG_IDS,14,0,3,TRUE,LookCenter,1126610,1127009,399
MBG_IDS,14,0,4,TRUE,LookCenter,1127952,1128375,423
MBG_IDS,14,0,5,TRUE,LookCenter,1129525,1129675,150
MBG_IDS,14,0,6,TRUE,LookCenter,1130604,1130790,186
MBG_IDS,14,0,7,TRUE,LookCenter,1131972,1132259,287
MBG_IDS,14,0,8,TRUE,LookCenter,1133386,1133530,144
MBG_IDS,14,0,9,TRUE,LookCenter,1134311,1134846,535
MBG_IDS,14,0,10,TRUE,LookCenter,1135767,1136196,429
MBG_IDS,14,0,11,TRUE,LookCenter,1137156,1137309,153
MBG_IDS,14,0,12,TRUE,LookCenter,1139026,1139324,298
MBG_IDS,14,0,13,TRUE,LookCenter,1140313,1141059,746
MBG_IDS,15,0,1,TRUE,LookCenter,1144360,1145665,1305
MBG_IDS,15,0,2,TRUE,LookCenter,1146197,1147101,904
MBG_IDS,15,0,3,TRUE,LookCenter,1148373,1148873,500
MBG_IDS,15,0,4,TRUE,LookCenter,1149886,1150272,386
