SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
MBG-31,MBG_IDS,ORDER_2 (none),1,0,MaxStimulusTime,No,22,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7379155,7402496,10568,0,0,10568,0,7384496,7402496,LookCenter,7384808,7386607,1799,LookCenter,7387659,7388624,965,LookCenter,7389459,7390986,1527,LookCenter,7391542,7393567,2025,LookCenter,7394418,7396388,1970,LookCenter,7397078,7398294,1216,LookCenter,7399062,7399803,741,LookCenter,7400758,7401083,325
MBG-31,MBG_IDS,ORDER_2 (none),2,0,MaxLookAwayTime,No,23,Train_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7402499,7416084,6586,0,0,6586,0,7404178,7416084,LookCenter,7404672,7406306,1634,LookCenter,7406960,7408270,1310,LookCenter,7408974,7410195,1221,LookCenter,7410943,7412399,1456,LookCenter,7413118,7414083,965
MBG-31,MBG_IDS,ORDER_2 (none),3,0,MaxLookAwayTime,No,24,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7416086,7426664,6129,0,0,6129,0,7417340,7426664,LookCenter,7417875,7423425,5550,LookCenter,7424085,7424664,579
MBG-31,MBG_IDS,ORDER_2 (none),4,0,MaxLookAwayTime,No,25,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7426667,7436483,3641,0,0,3641,0,7428071,7436483,LookCenter,7428543,7430622,2079,LookCenter,7431067,7432007,940,LookCenter,7433860,7434482,622
MBG-31,MBG_IDS,ORDER_2 (none),5,0,MaxLookAwayTime,No,26,ADS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7436485,7444109,2329,0,0,2329,0,7438004,7444109,LookCenter,7438725,7439432,707,LookCenter,7440486,7442108,1622
MBG-31,MBG_IDS,ORDER_2 (none),6,0,MaxLookAwayTime,No,27,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7444111,7458869,8991,0,0,8991,0,7445238,7458869,LookCenter,7445868,7446675,807,LookCenter,7447964,7449172,1208,LookCenter,7449893,7456869,6976
MBG-31,MBG_IDS,ORDER_2 (none),7,0,MaxLookAwayTime,No,28,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7458871,7471232,6529,0,0,6529,0,7459831,7471232,LookCenter,7460421,7463320,2899,LookCenter,7463760,7465204,1444,LookCenter,7465725,7467553,1828,LookCenter,7468874,7469232,358
MBG-31,MBG_IDS,ORDER_2 (none),8,0,MaxStimulusTime,No,29,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7471234,7490765,13364,0,0,13364,0,7472765,7490765,LookCenter,7473403,7481727,8324,LookCenter,7483128,7485104,1976,LookCenter,7485929,7487310,1381,LookCenter,7488010,7489693,1683
MBG-31,MBG_IDS,ORDER_2 (none),9,0,MaxLookAwayTime,No,30,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7490767,7504507,7843,0,0,7843,0,7491870,7504507,LookCenter,7492569,7495483,2914,LookCenter,7496053,7497676,1623,LookCenter,7498304,7501058,2754,LookCenter,7501954,7502506,552
MBG-31,MBG_IDS,ORDER_2 (none),10,0,MaxLookAwayTime,No,31,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7504509,7509568,941,0,0,941,0,7505747,7509568,LookCenter,7506626,7507567,941
MBG-31,MBG_IDS,ORDER_2 (none),11,0,MaxLookAwayTime,No,32,IDS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7509571,7514999,877,0,0,877,0,7511626,7514999,LookCenter,7512122,7512999,877
MBG-31,MBG_IDS,ORDER_2 (none),12,0,MaxLookAwayTime,No,33,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7515001,7552655,2636,0,0,2636,0,7546441,7552655,LookCenter,7547496,7549274,1778,LookCenter,7549795,7550653,858
MBG-31,MBG_IDS,ORDER_2 (none),13,0,MaxLookAwayTime,No,34,IDS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7552657,7561527,484,0,0,484,0,7558535,7561527,LookCenter,7559043,7559527,484
MBG-31,MBG_IDS,ORDER_2 (none),14,0,MaxLookAwayTime,No,35,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7561528,7567763,712,0,0,712,0,7564410,7567763,LookCenter,7565049,7565761,712
MBG-31,MBG_IDS,ORDER_2 (none),15,0,MaxStimulusTime,No,36,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7567765,7590966,15680,0,0,15680,0,7572966,7590966,LookCenter,7573481,7577532,4051,LookCenter,7578079,7580008,1929,LookCenter,7580333,7582559,2226,LookCenter,7582953,7584576,1623,LookCenter,7585115,7590966,5851
MBG-31,MBG_IDS,ORDER_2 (none),16,0,MaxLookAwayTime,No,37,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7590967,7604168,5722,0,0,5722,0,7592197,7604168,LookCenter,7592658,7594208,1550,LookCenter,7596078,7597066,988,LookCenter,7597612,7598454,842,LookCenter,7598912,7600166,1254,LookCenter,7601079,7602167,1088
MBG-31,MBG_IDS,ORDER_2 (none),17,0,MaxLookAwayTime,No,38,IDS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7604171,7612034,2970,0,0,2970,0,7604882,7612034,LookCenter,7605424,7606607,1183,LookCenter,7607702,7608546,844,LookCenter,7609090,7610033,943
MBG-31,MBG_IDS,ORDER_2 (none),18,0,MaxLookAwayTime,No,39,ADS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,7612034,7618914,1706,0,0,1706,0,7613186,7618914,LookCenter,7613804,7614975,1171,LookCenter,7615843,7616219,376,LookCenter,7616754,7616913,159

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,1,0,1,TRUE,LookCenter,7384808,7386607,1799
MBG_IDS,1,0,2,TRUE,LookCenter,7387659,7388624,965
MBG_IDS,1,0,3,TRUE,LookCenter,7389459,7390986,1527
MBG_IDS,1,0,4,TRUE,LookCenter,7391542,7393567,2025
MBG_IDS,1,0,5,TRUE,LookCenter,7394418,7396388,1970
MBG_IDS,1,0,6,TRUE,LookCenter,7397078,7398294,1216
MBG_IDS,1,0,7,TRUE,LookCenter,7399062,7399803,741
MBG_IDS,1,0,8,TRUE,LookCenter,7400758,7401083,325
MBG_IDS,2,0,1,TRUE,LookCenter,7404672,7406306,1634
MBG_IDS,2,0,2,TRUE,LookCenter,7406960,7408270,1310
MBG_IDS,2,0,3,TRUE,LookCenter,7408974,7410195,1221
MBG_IDS,2,0,4,TRUE,LookCenter,7410943,7412399,1456
MBG_IDS,2,0,5,TRUE,LookCenter,7413118,7414083,965
MBG_IDS,3,0,1,TRUE,LookCenter,7417875,7423425,5550
MBG_IDS,3,0,2,TRUE,LookCenter,7424085,7424664,579
MBG_IDS,4,0,1,TRUE,LookCenter,7428543,7430622,2079
MBG_IDS,4,0,2,TRUE,LookCenter,7431067,7432007,940
MBG_IDS,4,0,3,TRUE,LookCenter,7433860,7434482,622
MBG_IDS,5,0,1,TRUE,LookCenter,7438725,7439432,707
MBG_IDS,5,0,2,TRUE,LookCenter,7440486,7442108,1622
MBG_IDS,6,0,1,TRUE,LookCenter,7445868,7446675,807
MBG_IDS,6,0,2,TRUE,LookCenter,7447964,7449172,1208
MBG_IDS,6,0,3,TRUE,LookCenter,7449893,7456869,6976
MBG_IDS,7,0,1,TRUE,LookCenter,7460421,7463320,2899
MBG_IDS,7,0,2,TRUE,LookCenter,7463760,7465204,1444
MBG_IDS,7,0,3,TRUE,LookCenter,7465725,7467553,1828
MBG_IDS,7,0,4,TRUE,LookCenter,7468874,7469232,358
MBG_IDS,8,0,1,TRUE,LookCenter,7473403,7481727,8324
MBG_IDS,8,0,2,TRUE,LookCenter,7483128,7485104,1976
MBG_IDS,8,0,3,TRUE,LookCenter,7485929,7487310,1381
MBG_IDS,8,0,4,TRUE,LookCenter,7488010,7489693,1683
MBG_IDS,9,0,1,TRUE,LookCenter,7492569,7495483,2914
MBG_IDS,9,0,2,TRUE,LookCenter,7496053,7497676,1623
MBG_IDS,9,0,3,TRUE,LookCenter,7498304,7501058,2754
MBG_IDS,9,0,4,TRUE,LookCenter,7501954,7502506,552
MBG_IDS,10,0,1,TRUE,LookCenter,7506626,7507567,941
MBG_IDS,11,0,1,TRUE,LookCenter,7512122,7512999,877
MBG_IDS,12,0,1,TRUE,LookCenter,7547496,7549274,1778
MBG_IDS,12,0,2,TRUE,LookCenter,7549795,7550653,858
MBG_IDS,13,0,1,TRUE,LookCenter,7559043,7559527,484
MBG_IDS,14,0,1,TRUE,LookCenter,7565049,7565761,712
MBG_IDS,15,0,1,TRUE,LookCenter,7573481,7577532,4051
MBG_IDS,15,0,2,TRUE,LookCenter,7578079,7580008,1929
MBG_IDS,15,0,3,TRUE,LookCenter,7580333,7582559,2226
MBG_IDS,15,0,4,TRUE,LookCenter,7582953,7584576,1623
MBG_IDS,15,0,5,TRUE,LookCenter,7585115,7590966,5851
MBG_IDS,16,0,1,TRUE,LookCenter,7592658,7594208,1550
MBG_IDS,16,0,2,TRUE,LookCenter,7596078,7597066,988
MBG_IDS,16,0,3,TRUE,LookCenter,7597612,7598454,842
MBG_IDS,16,0,4,TRUE,LookCenter,7598912,7600166,1254
MBG_IDS,16,0,5,TRUE,LookCenter,7601079,7602167,1088
MBG_IDS,17,0,1,TRUE,LookCenter,7605424,7606607,1183
MBG_IDS,17,0,2,TRUE,LookCenter,7607702,7608546,844
MBG_IDS,17,0,3,TRUE,LookCenter,7609090,7610033,943
MBG_IDS,18,0,1,TRUE,LookCenter,7613804,7614975,1171
MBG_IDS,18,0,2,TRUE,LookCenter,7615843,7616219,376
MBG_IDS,18,0,3,TRUE,LookCenter,7616754,7616913,159
