SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
MBG1-10,MBG_IDS,ORDER_3 (none),1,0,AGAbort,No,0,,,,,,,2266908,2346621,0,0,0,0,0,0,2346621
MBG1-10,MBG_IDS,ORDER_3 (none),1,1,MaxLookAwayTime,No,22,Train_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2346621,2360999,5964,0,0,5964,0,2349551,2360999,LookCenter,2352296,2355847,3551,LookCenter,2356585,2358998,2413
MBG1-10,MBG_IDS,ORDER_3 (none),2,0,MaxStimulusTime,No,23,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2361000,2380876,12577,0,0,12577,0,2362876,2380876,LookCenter,2363954,2367042,3088,LookCenter,2367436,2368987,1551,LookCenter,2369705,2371198,1493,LookCenter,2372546,2374003,1457,LookCenter,2374850,2377084,2234,LookCenter,2377690,2380444,2754
MBG1-10,MBG_IDS,ORDER_3 (none),3,0,MaxLookAwayTime,No,24,IDS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2380878,2389027,3199,0,0,3199,0,2382131,2389027,LookCenter,2383827,2387026,3199
MBG1-10,MBG_IDS,ORDER_3 (none),4,0,MaxStimulusTime,No,25,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2389029,2408880,13105,0,0,13105,0,2390880,2408880,LookCenter,2391483,2397304,5821,LookCenter,2397855,2400821,2966,LookCenter,2401806,2405003,3197,LookCenter,2406238,2406978,740,LookCenter,2408499,2408880,381
MBG1-10,MBG_IDS,ORDER_3 (none),5,0,MaxLookAwayTime,No,26,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2408882,2424287,10012,0,0,10012,0,2409960,2424287,LookCenter,2411569,2421089,9520,LookCenter,2421794,2422286,492
MBG1-10,MBG_IDS,ORDER_3 (none),6,0,MaxLookAwayTime,No,27,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2424289,2450718,11822,0,0,11822,0,2435244,2450718,LookCenter,2435866,2447199,11333,LookCenter,2448228,2448717,489
MBG1-10,MBG_IDS,ORDER_3 (none),7,0,MaxStimulusTime,No,28,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2450720,2470568,13904,0,0,13904,0,2452569,2470568,LookCenter,2452944,2463143,10199,LookCenter,2463619,2465744,2125,LookCenter,2466649,2467950,1301,LookCenter,2468860,2469139,279
MBG1-10,MBG_IDS,ORDER_3 (none),8,0,MaxStimulusTime,No,29,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2470570,2489887,15864,0,0,15864,0,2471886,2489887,LookCenter,2472456,2482055,9599,LookCenter,2483622,2489887,6265
MBG1-10,MBG_IDS,ORDER_3 (none),9,0,MaxStimulusTime,No,30,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2489890,2509443,14601,0,0,14601,0,2491444,2509443,LookCenter,2491860,2495714,3854,LookCenter,2496764,2500339,3575,LookCenter,2500855,2503413,2558,LookCenter,2504829,2509443,4614
MBG1-10,MBG_IDS,ORDER_3 (none),10,0,MaxStimulusTime,No,31,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2509445,2529298,17733,0,0,17733,0,2511296,2529298,LookCenter,2511564,2529297,17733
MBG1-10,MBG_IDS,ORDER_3 (none),11,0,MaxStimulusTime,No,32,ADS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2529300,2553542,15996,0,0,15996,0,2535542,2553542,LookCenter,2535542,2535586,44,LookCenter,2536156,2546233,10077,LookCenter,2547667,2553542,5875
MBG1-10,MBG_IDS,ORDER_3 (none),12,0,MaxStimulusTime,No,33,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2553544,2573380,17496,0,0,17496,0,2555379,2573380,LookCenter,2555884,2573380,17496
MBG1-10,MBG_IDS,ORDER_3 (none),13,0,MaxLookAwayTime,No,34,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2573382,2587598,9345,0,0,9345,0,2574465,2587598,LookCenter,2575149,2577239,2090,LookCenter,2577672,2579472,1800,LookCenter,2579832,2582967,3135,LookCenter,2583277,2585597,2320
MBG1-10,MBG_IDS,ORDER_3 (none),14,0,MaxLookAwayTime,No,35,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2587600,2595960,3541,0,0,3541,0,2589991,2595960,LookCenter,2590418,2593959,3541
MBG1-10,MBG_IDS,ORDER_3 (none),15,0,MaxStimulusTime,No,36,IDS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2595963,2616358,17095,0,0,17095,0,2598363,2616358,LookCenter,2598719,2614612,15893,LookCenter,2615156,2616358,1202
MBG1-10,MBG_IDS,ORDER_3 (none),16,0,MaxStimulusTime,No,37,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2616359,2636710,16427,0,0,16427,0,2618710,2636710,LookCenter,2619358,2634090,14732,LookCenter,2634775,2636470,1695
MBG1-10,MBG_IDS,ORDER_3 (none),17,0,MaxStimulusTime,No,38,IDS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2636712,2656859,17662,0,0,17662,0,2638860,2656859,LookCenter,2639197,2656859,17662
MBG1-10,MBG_IDS,ORDER_3 (none),18,0,MaxLookAwayTime,No,39,ADS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2656859,2667929,6929,0,0,6929,0,2658507,2667929,LookCenter,2659000,2665929,6929

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,1,1,1,TRUE,LookCenter,2352296,2355847,3551
MBG_IDS,1,1,2,TRUE,LookCenter,2356585,2358998,2413
MBG_IDS,2,0,1,TRUE,LookCenter,2363954,2367042,3088
MBG_IDS,2,0,2,TRUE,LookCenter,2367436,2368987,1551
MBG_IDS,2,0,3,TRUE,LookCenter,2369705,2371198,1493
MBG_IDS,2,0,4,TRUE,LookCenter,2372546,2374003,1457
MBG_IDS,2,0,5,TRUE,LookCenter,2374850,2377084,2234
MBG_IDS,2,0,6,TRUE,LookCenter,2377690,2380444,2754
MBG_IDS,3,0,1,TRUE,LookCenter,2383827,2387026,3199
MBG_IDS,4,0,1,TRUE,LookCenter,2391483,2397304,5821
MBG_IDS,4,0,2,TRUE,LookCenter,2397855,2400821,2966
MBG_IDS,4,0,3,TRUE,LookCenter,2401806,2405003,3197
MBG_IDS,4,0,4,TRUE,LookCenter,2406238,2406978,740
MBG_IDS,4,0,5,TRUE,LookCenter,2408499,2408880,381
MBG_IDS,5,0,1,TRUE,LookCenter,2411569,2421089,9520
MBG_IDS,5,0,2,TRUE,LookCenter,2421794,2422286,492
MBG_IDS,6,0,1,TRUE,LookCenter,2435866,2447199,11333
MBG_IDS,6,0,2,TRUE,LookCenter,2448228,2448717,489
MBG_IDS,7,0,1,TRUE,LookCenter,2452944,2463143,10199
MBG_IDS,7,0,2,TRUE,LookCenter,2463619,2465744,2125
MBG_IDS,7,0,3,TRUE,LookCenter,2466649,2467950,1301
MBG_IDS,7,0,4,TRUE,LookCenter,2468860,2469139,279
MBG_IDS,8,0,1,TRUE,LookCenter,2472456,2482055,9599
MBG_IDS,8,0,2,TRUE,LookCenter,2483622,2489887,6265
MBG_IDS,9,0,1,TRUE,LookCenter,2491860,2495714,3854
MBG_IDS,9,0,2,TRUE,LookCenter,2496764,2500339,3575
MBG_IDS,9,0,3,TRUE,LookCenter,2500855,2503413,2558
MBG_IDS,9,0,4,TRUE,LookCenter,2504829,2509443,4614
MBG_IDS,10,0,1,TRUE,LookCenter,2511564,2529297,17733
MBG_IDS,11,0,1,TRUE,LookCenter,2535542,2535586,44
MBG_IDS,11,0,2,TRUE,LookCenter,2536156,2546233,10077
MBG_IDS,11,0,3,TRUE,LookCenter,2547667,2553542,5875
MBG_IDS,12,0,1,TRUE,LookCenter,2555884,2573380,17496
MBG_IDS,13,0,1,TRUE,LookCenter,2575149,2577239,2090
MBG_IDS,13,0,2,TRUE,LookCenter,2577672,2579472,1800
MBG_IDS,13,0,3,TRUE,LookCenter,2579832,2582967,3135
MBG_IDS,13,0,4,TRUE,LookCenter,2583277,2585597,2320
MBG_IDS,14,0,1,TRUE,LookCenter,2590418,2593959,3541
MBG_IDS,15,0,1,TRUE,LookCenter,2598719,2614612,15893
MBG_IDS,15,0,2,TRUE,LookCenter,2615156,2616358,1202
MBG_IDS,16,0,1,TRUE,LookCenter,2619358,2634090,14732
MBG_IDS,16,0,2,TRUE,LookCenter,2634775,2636470,1695
MBG_IDS,17,0,1,TRUE,LookCenter,2639197,2656859,17662
MBG_IDS,18,0,1,TRUE,LookCenter,2659000,2665929,6929
