SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
MBG1-14,MBG_IDS,ORDER_1 (none),1,0,MaxStimulusTime,No,22,Train_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4222436,4348005,0,0,0,0,0,4330005,4348005
MBG1-14,MBG_IDS,ORDER_1 (none),2,0,MaxLookAwayTime,No,23,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4348012,4368223,6088,0,0,6088,0,4355830,4368223,LookCenter,4357737,4360847,3110,LookCenter,4362159,4363773,1614,LookCenter,4364859,4366223,1364
MBG1-14,MBG_IDS,ORDER_1 (none),3,0,MaxLookAwayTime,No,24,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4368235,4382275,8871,0,0,8871,0,4369163,4382275,LookCenter,4369903,4378337,8434,LookCenter,4379838,4380275,437
MBG1-14,MBG_IDS,ORDER_1 (none),4,0,MaxLookAwayTime,No,25,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4382281,4389937,528,0,0,528,0,4383311,4389937,LookCenter,4387409,4387937,528
MBG1-14,MBG_IDS,ORDER_1 (none),5,0,MaxStimulusTime,No,26,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4389950,4416488,15120,0,0,15120,0,4398488,4416488,LookCenter,4398982,4404224,5242,LookCenter,4404336,4404485,149,LookCenter,4404731,4406458,1727,LookCenter,4406863,4409344,2481,LookCenter,4410072,4414346,4274,LookCenter,4414752,4415764,1012,LookCenter,4416252,4416487,235
MBG1-14,MBG_IDS,ORDER_1 (none),6,0,MaxStimulusTime,No,27,ADS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4416497,4435455,10572,0,0,10572,0,4417459,4435454,LookCenter,4417974,4419004,1030,LookCenter,4420190,4423285,3095,LookCenter,4424579,4426166,1587,LookCenter,4427529,4429305,1776,LookCenter,4429801,4430798,997,LookCenter,4432013,4433745,1732,LookCenter,4435099,4435454,355
MBG1-14,MBG_IDS,ORDER_1 (none),7,0,MaxLookAwayTime,No,28,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4435465,4452013,9942,0,0,9942,0,4436454,4452013,LookCenter,4436957,4439459,2502,LookCenter,4440031,4442840,2809,LookCenter,4444395,4444776,381,LookCenter,4445761,4450011,4250
MBG1-14,MBG_IDS,ORDER_1 (none),8,0,MaxStimulusTime,No,29,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4452015,4471925,15062,0,0,15062,0,4453926,4471925,LookCenter,4454239,4458976,4737,LookCenter,4459466,4461550,2084,LookCenter,4462273,4470514,8241
MBG1-14,MBG_IDS,ORDER_1 (none),9,0,MaxLookAwayTime,No,30,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4471926,4491430,744,0,0,744,0,4487276,4491430,LookCenter,4487821,4488189,368,LookCenter,4489053,4489429,376
MBG1-14,MBG_IDS,ORDER_1 (none),10,0,MaxLookAwayTime,No,31,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4491441,4507552,261,0,0,261,0,4503889,4507552,LookCenter,4505291,4505552,261
MBG1-14,MBG_IDS,ORDER_1 (none),11,0,MaxLookAwayTime,No,32,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4507563,4538769,813,0,0,813,0,4531823,4538769,LookCenter,4534153,4534800,647,LookCenter,4536603,4536769,166
MBG1-14,MBG_IDS,ORDER_1 (none),12,0,MaxLookAwayTime,No,33,IDS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4538770,4592694,6047,0,0,6047,0,4580853,4592694,LookCenter,4582078,4582958,880,LookCenter,4583618,4584573,955,LookCenter,4585423,4589422,3999,LookCenter,4590481,4590694,213
MBG1-14,MBG_IDS,ORDER_1 (none),13,0,MaxLookAwayTime,No,34,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4592695,4609617,6285,0,0,6285,0,4597923,4609617,LookCenter,4598824,4601239,2415,LookCenter,4601612,4603697,2085,LookCenter,4604679,4606191,1512,LookCenter,4607343,4607616,273
MBG1-14,MBG_IDS,ORDER_1 (none),14,0,MaxLookAwayTime,No,35,IDS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4609624,4620761,2182,0,0,2182,0,4611682,4620761,LookCenter,4612642,4613155,513,LookCenter,4613845,4614215,370,LookCenter,4615792,4616480,688,LookCenter,4618150,4618761,611
MBG1-14,MBG_IDS,ORDER_1 (none),15,0,MaxLookAwayTime,No,36,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4620767,4630938,1249,0,0,1249,0,4625509,4630938,LookCenter,4626192,4626574,382,LookCenter,4628071,4628938,867
MBG1-14,MBG_IDS,ORDER_1 (none),16,0,MaxLookAwayTime,No,37,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4630941,4645546,4452,0,0,4452,0,4632191,4645546,LookCenter,4632672,4634828,2156,LookCenter,4636672,4636961,289,LookCenter,4638612,4638895,283,LookCenter,4640410,4641362,952,LookCenter,4642773,4643545,772
MBG1-14,MBG_IDS,ORDER_1 (none),17,0,MaxLookAwayTime,No,38,ADS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4645548,4655474,1208,0,0,1208,0,4647860,4655474,LookCenter,4650757,4651004,247,LookCenter,4652513,4653474,961
MBG1-14,MBG_IDS,ORDER_1 (none),18,0,MaxLookAwayTime,No,39,IDS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,4655474,4667010,2604,0,0,2604,0,4657475,4667010,LookCenter,4658168,4659075,907,LookCenter,4659896,4660682,786,LookCenter,4662313,4663031,718,LookCenter,4664817,4665010,193

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,2,0,1,TRUE,LookCenter,4357737,4360847,3110
MBG_IDS,2,0,2,TRUE,LookCenter,4362159,4363773,1614
MBG_IDS,2,0,3,TRUE,LookCenter,4364859,4366223,1364
MBG_IDS,3,0,1,TRUE,LookCenter,4369903,4378337,8434
MBG_IDS,3,0,2,TRUE,LookCenter,4379838,4380275,437
MBG_IDS,4,0,1,TRUE,LookCenter,4387409,4387937,528
MBG_IDS,5,0,1,TRUE,LookCenter,4398982,4404224,5242
MBG_IDS,5,0,2,TRUE,LookCenter,4404336,4404485,149
MBG_IDS,5,0,3,TRUE,LookCenter,4404731,4406458,1727
MBG_IDS,5,0,4,TRUE,LookCenter,4406863,4409344,2481
MBG_IDS,5,0,5,TRUE,LookCenter,4410072,4414346,4274
MBG_IDS,5,0,6,TRUE,LookCenter,4414752,4415764,1012
MBG_IDS,5,0,7,TRUE,LookCenter,4416252,4416487,235
MBG_IDS,6,0,1,TRUE,LookCenter,4417974,4419004,1030
MBG_IDS,6,0,2,TRUE,LookCenter,4420190,4423285,3095
MBG_IDS,6,0,3,TRUE,LookCenter,4424579,4426166,1587
MBG_IDS,6,0,4,TRUE,LookCenter,4427529,4429305,1776
MBG_IDS,6,0,5,TRUE,LookCenter,4429801,4430798,997
MBG_IDS,6,0,6,TRUE,LookCenter,4432013,4433745,1732
MBG_IDS,6,0,7,TRUE,LookCenter,4435099,4435454,355
MBG_IDS,7,0,1,TRUE,LookCenter,4436957,4439459,2502
MBG_IDS,7,0,2,TRUE,LookCenter,4440031,4442840,2809
MBG_IDS,7,0,3,TRUE,LookCenter,4444395,4444776,381
MBG_IDS,7,0,4,TRUE,LookCenter,4445761,4450011,4250
MBG_IDS,8,0,1,TRUE,LookCenter,4454239,4458976,4737
MBG_IDS,8,0,2,TRUE,LookCenter,4459466,4461550,2084
MBG_IDS,8,0,3,TRUE,LookCenter,4462273,4470514,8241
MBG_IDS,9,0,1,TRUE,LookCenter,4487821,4488189,368
MBG_IDS,9,0,2,TRUE,LookCenter,4489053,4489429,376
MBG_IDS,10,0,1,TRUE,LookCenter,4505291,4505552,261
MBG_IDS,11,0,1,TRUE,LookCenter,4534153,4534800,647
MBG_IDS,11,0,2,TRUE,LookCenter,4536603,4536769,166
MBG_IDS,12,0,1,TRUE,LookCenter,4582078,4582958,880
MBG_IDS,12,0,2,TRUE,LookCenter,4583618,4584573,955
MBG_IDS,12,0,3,TRUE,LookCenter,4585423,4589422,3999
MBG_IDS,12,0,4,TRUE,LookCenter,4590481,4590694,213
MBG_IDS,13,0,1,TRUE,LookCenter,4598824,4601239,2415
MBG_IDS,13,0,2,TRUE,LookCenter,4601612,4603697,2085
MBG_IDS,13,0,3,TRUE,LookCenter,4604679,4606191,1512
MBG_IDS,13,0,4,TRUE,LookCenter,4607343,4607616,273
MBG_IDS,14,0,1,TRUE,LookCenter,4612642,4613155,513
MBG_IDS,14,0,2,TRUE,LookCenter,4613845,4614215,370
MBG_IDS,14,0,3,TRUE,LookCenter,4615792,4616480,688
MBG_IDS,14,0,4,TRUE,LookCenter,4618150,4618761,611
MBG_IDS,15,0,1,TRUE,LookCenter,4626192,4626574,382
MBG_IDS,15,0,2,TRUE,LookCenter,4628071,4628938,867
MBG_IDS,16,0,1,TRUE,LookCenter,4632672,4634828,2156
MBG_IDS,16,0,2,TRUE,LookCenter,4636672,4636961,289
MBG_IDS,16,0,3,TRUE,LookCenter,4638612,4638895,283
MBG_IDS,16,0,4,TRUE,LookCenter,4640410,4641362,952
MBG_IDS,16,0,5,TRUE,LookCenter,4642773,4643545,772
MBG_IDS,17,0,1,TRUE,LookCenter,4650757,4651004,247
MBG_IDS,17,0,2,TRUE,LookCenter,4652513,4653474,961
MBG_IDS,18,0,1,TRUE,LookCenter,4658168,4659075,907
MBG_IDS,18,0,2,TRUE,LookCenter,4659896,4660682,786
MBG_IDS,18,0,3,TRUE,LookCenter,4662313,4663031,718
MBG_IDS,18,0,4,TRUE,LookCenter,4664817,4665010,193
