SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
MBG1-2,MBG_IDS,default (none),1,0,MaxStimulusTime,No,22,Train_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1520141,1557088,6693,0,0,6693,0,1539091,1557088,LookCenter,1547798,1552832,5034,LookCenter,1553957,1555188,1231,LookCenter,1556660,1557088,428
MBG1-2,MBG_IDS,default (none),2,0,MaxLookAwayTime,No,23,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1557089,1571859,6996,0,0,6996,0,1559228,1571859,LookCenter,1559664,1562665,3001,LookCenter,1564111,1567224,3113,LookCenter,1568977,1569859,882
MBG1-2,MBG_IDS,default (none),3,0,MaxLookAwayTime,No,24,ADS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1571861,1597190,11734,0,0,11734,0,1579354,1597190,LookCenter,1579871,1581268,1397,LookCenter,1581922,1582882,960,LookCenter,1583947,1588400,4453,LookCenter,1589159,1591603,2444,LookCenter,1592710,1595190,2480
MBG1-2,MBG_IDS,default (none),4,0,MaxStimulusTime,No,25,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1597192,1624764,12571,0,0,12571,0,1606765,1624764,LookCenter,1607195,1611416,4221,LookCenter,1612827,1614359,1532,LookCenter,1615614,1619179,3565,LookCenter,1620187,1623401,3214,LookCenter,1624725,1624764,39
MBG1-2,MBG_IDS,default (none),5,0,MaxLookAwayTime,No,26,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1624766,1642515,10230,0,0,10230,0,1626751,1642515,LookCenter,1627061,1629375,2314,LookCenter,1630133,1634689,4556,LookCenter,1635748,1637423,1675,LookCenter,1638830,1640515,1685
MBG1-2,MBG_IDS,default (none),6,0,MaxStimulusTime,No,27,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1642517,1664319,11721,0,0,11721,0,1646319,1664318,LookCenter,1646880,1650074,3194,LookCenter,1651429,1654697,3268,LookCenter,1656208,1658560,2352,LookCenter,1660165,1663072,2907
MBG1-2,MBG_IDS,default (none),7,0,MaxStimulusTime,No,28,ADS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1664321,1688197,15136,0,0,15136,0,1670195,1688197,LookCenter,1670887,1680115,9228,LookCenter,1681132,1684405,3273,LookCenter,1685562,1688197,2635
MBG1-2,MBG_IDS,default (none),8,0,MaxStimulusTime,No,29,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1688200,1707996,14339,0,0,14339,0,1689996,1707996,LookCenter,1690582,1693803,3221,LookCenter,1695249,1699546,4297,LookCenter,1700602,1707423,6821
MBG1-2,MBG_IDS,default (none),9,0,MaxStimulusTime,No,30,ADS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1707998,1727351,13979,0,0,13979,0,1709352,1727351,LookCenter,1709938,1713424,3486,LookCenter,1714575,1718090,3515,LookCenter,1719319,1725141,5822,LookCenter,1726195,1727351,1156
MBG1-2,MBG_IDS,default (none),10,0,MaxLookAwayTime,No,31,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1727352,1735819,2959,0,0,2959,0,1730250,1735819,LookCenter,1730859,1733818,2959
MBG1-2,MBG_IDS,default (none),11,0,MaxStimulusTime,No,32,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1735824,1758067,13832,0,0,13832,0,1740066,1758067,LookCenter,1742093,1747997,5904,LookCenter,1748727,1754296,5569,LookCenter,1755223,1757582,2359
MBG1-2,MBG_IDS,default (none),12,0,MaxStimulusTime,No,33,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1758068,1777824,15739,0,0,15739,0,1759826,1777824,LookCenter,1761045,1768683,7638,LookCenter,1769513,1777614,8101
MBG1-2,MBG_IDS,default (none),13,0,MaxStimulusTime,No,34,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1777826,1799197,14406,0,0,14406,0,1781201,1799197,LookCenter,1781776,1786750,4974,LookCenter,1787728,1791141,3413,LookCenter,1792149,1796578,4429,LookCenter,1797607,1799197,1590
MBG1-2,MBG_IDS,default (none),14,0,MaxStimulusTime,No,35,IDS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1799199,1821156,15322,0,0,15322,0,1803156,1821156,LookCenter,1803827,1806544,2717,LookCenter,1807634,1816001,8367,LookCenter,1816918,1821156,4238
MBG1-2,MBG_IDS,default (none),15,0,MaxStimulusTime,No,36,IDS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1821158,1840376,13126,0,0,13126,0,1822376,1840376,LookCenter,1823251,1826335,3084,LookCenter,1827214,1829707,2493,LookCenter,1831143,1836191,5048,LookCenter,1837325,1839826,2501
MBG1-2,MBG_IDS,default (none),16,0,MaxStimulusTime,No,37,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1840379,1859494,13329,0,0,13329,0,1841493,1859494,LookCenter,1842540,1846019,3479,LookCenter,1846944,1851515,4571,LookCenter,1852329,1853829,1500,LookCenter,1855318,1859097,3779
MBG1-2,MBG_IDS,default (none),17,0,MaxStimulusTime,No,38,IDS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1859496,1879309,14582,0,0,14582,0,1861309,1879309,LookCenter,1862154,1869054,6900,LookCenter,1869957,1874318,4361,LookCenter,1875059,1876521,1462,LookCenter,1877450,1879309,1859
MBG1-2,MBG_IDS,default (none),18,0,MaxLookAwayTime,No,39,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1879309,1895035,7758,0,0,7758,0,1880757,1895035,LookCenter,1881624,1884018,2394,LookCenter,1885441,1887878,2437,LookCenter,1888847,1890804,1957,LookCenter,1892065,1893035,970

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,1,0,1,TRUE,LookCenter,1547798,1552832,5034
MBG_IDS,1,0,2,TRUE,LookCenter,1553957,1555188,1231
MBG_IDS,1,0,3,TRUE,LookCenter,1556660,1557088,428
MBG_IDS,2,0,1,TRUE,LookCenter,1559664,1562665,3001
MBG_IDS,2,0,2,TRUE,LookCenter,1564111,1567224,3113
MBG_IDS,2,0,3,TRUE,LookCenter,1568977,1569859,882
MBG_IDS,3,0,1,TRUE,LookCenter,1579871,1581268,1397
MBG_IDS,3,0,2,TRUE,LookCenter,1581922,1582882,960
MBG_IDS,3,0,3,TRUE,LookCenter,1583947,1588400,4453
MBG_IDS,3,0,4,TRUE,LookCenter,1589159,1591603,2444
MBG_IDS,3,0,5,TRUE,LookCenter,1592710,1595190,2480
MBG_IDS,4,0,1,TRUE,LookCenter,1607195,1611416,4221
MBG_IDS,4,0,2,TRUE,LookCenter,1612827,1614359,1532
MBG_IDS,4,0,3,TRUE,LookCenter,1615614,1619179,3565
MBG_IDS,4,0,4,TRUE,LookCenter,1620187,1623401,3214
MBG_IDS,4,0,5,TRUE,LookCenter,1624725,1624764,39
MBG_IDS,5,0,1,TRUE,LookCenter,1627061,1629375,2314
MBG_IDS,5,0,2,TRUE,LookCenter,1630133,1634689,4556
MBG_IDS,5,0,3,TRUE,LookCenter,1635748,1637423,1675
MBG_IDS,5,0,4,TRUE,LookCenter,1638830,1640515,1685
MBG_IDS,6,0,1,TRUE,LookCenter,1646880,1650074,3194
MBG_IDS,6,0,2,TRUE,LookCenter,1651429,1654697,3268
MBG_IDS,6,0,3,TRUE,LookCenter,1656208,1658560,2352
MBG_IDS,6,0,4,TRUE,LookCenter,1660165,1663072,2907
MBG_IDS,7,0,1,TRUE,LookCenter,1670887,1680115,9228
MBG_IDS,7,0,2,TRUE,LookCenter,1681132,1684405,3273
MBG_IDS,7,0,3,TRUE,LookCenter,1685562,1688197,2635
MBG_IDS,8,0,1,TRUE,LookCenter,1690582,1693803,3221
MBG_IDS,8,0,2,TRUE,LookCenter,1695249,1699546,4297
MBG_IDS,8,0,3,TRUE,LookCenter,1700602,1707423,6821
MBG_IDS,9,0,1,TRUE,LookCenter,1709938,1713424,3486
MBG_IDS,9,0,2,TRUE,LookCenter,1714575,1718090,3515
MBG_IDS,9,0,3,TRUE,LookCenter,1719319,1725141,5822
MBG_IDS,9,0,4,TRUE,LookCenter,1726195,1727351,1156
MBG_IDS,10,0,1,TRUE,LookCenter,1730859,1733818,2959
MBG_IDS,11,0,1,TRUE,LookCenter,1742093,1747997,5904
MBG_IDS,11,0,2,TRUE,LookCenter,1748727,1754296,5569
MBG_IDS,11,0,3,TRUE,LookCenter,1755223,1757582,2359
MBG_IDS,12,0,1,TRUE,LookCenter,1761045,1768683,7638
MBG_IDS,12,0,2,TRUE,LookCenter,1769513,1777614,8101
MBG_IDS,13,0,1,TRUE,LookCenter,1781776,1786750,4974
MBG_IDS,13,0,2,TRUE,LookCenter,1787728,1791141,3413
MBG_IDS,13,0,3,TRUE,LookCenter,1792149,1796578,4429
MBG_IDS,13,0,4,TRUE,LookCenter,1797607,1799197,1590
MBG_IDS,14,0,1,TRUE,LookCenter,1803827,1806544,2717
MBG_IDS,14,0,2,TRUE,LookCenter,1807634,1816001,8367
MBG_IDS,14,0,3,TRUE,LookCenter,1816918,1821156,4238
MBG_IDS,15,0,1,TRUE,LookCenter,1823251,1826335,3084
MBG_IDS,15,0,2,TRUE,LookCenter,1827214,1829707,2493
MBG_IDS,15,0,3,TRUE,LookCenter,1831143,1836191,5048
MBG_IDS,15,0,4,TRUE,LookCenter,1837325,1839826,2501
MBG_IDS,16,0,1,TRUE,LookCenter,1842540,1846019,3479
MBG_IDS,16,0,2,TRUE,LookCenter,1846944,1851515,4571
MBG_IDS,16,0,3,TRUE,LookCenter,1852329,1853829,1500
MBG_IDS,16,0,4,TRUE,LookCenter,1855318,1859097,3779
MBG_IDS,17,0,1,TRUE,LookCenter,1862154,1869054,6900
MBG_IDS,17,0,2,TRUE,LookCenter,1869957,1874318,4361
MBG_IDS,17,0,3,TRUE,LookCenter,1875059,1876521,1462
MBG_IDS,17,0,4,TRUE,LookCenter,1877450,1879309,1859
MBG_IDS,18,0,1,TRUE,LookCenter,1881624,1884018,2394
MBG_IDS,18,0,2,TRUE,LookCenter,1885441,1887878,2437
MBG_IDS,18,0,3,TRUE,LookCenter,1888847,1890804,1957
MBG_IDS,18,0,4,TRUE,LookCenter,1892065,1893035,970
