SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
RSAMB001,MBG_IDS,ORDER_1 (Simple),1,0,AGAbort,No,0,,,,,,,5211,18358,0,0,0,0,0,0,18358
RSAMB001,MBG_IDS,ORDER_1 (Simple),1,1,AGAbort,No,0,,,,,,,18358,35399,0,0,0,0,0,0,35399
RSAMB001,MBG_IDS,ORDER_1 (Simple),1,2,AGAbort,No,0,,,,,,,35399,56310,0,0,0,0,0,0,56310
RSAMB001,MBG_IDS,ORDER_1 (Simple),1,3,MaxStimulusTime,No,22,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,56310,74484,8923,0,0,8923,0,56484,74484,LookCenter,63512,64267,755,LookCenter,64980,69196,4216,LookCenter,70532,74484,3952
RSAMB001,MBG_IDS,ORDER_1 (Simple),2,0,MaxStimulusTime,No,23,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,74485,94977,15464,0,0,15464,0,76976,94977,LookCenter,77256,82597,5341,LookCenter,83409,83570,161,LookCenter,83584,83864,280,LookCenter,84548,87463,2915,LookCenter,87777,94544,6767
RSAMB001,MBG_IDS,ORDER_1 (Simple),3,0,MaxStimulusTime,No,24,Train_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,94978,114996,17280,0,0,17280,0,96996,114996,LookCenter,97715,114995,17280
RSAMB001,MBG_IDS,ORDER_1 (Simple),4,0,Abort,No,25,Train_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,114997,133282,16640,0,0,16640,0,116513,133282,LookCenter,116642,133282,16640
RSAMB001,MBG_IDS,ORDER_1 (Simple),5,0,MaxLookAwayTime,No,26,ADS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,133284,146818,6708,0,0,6708,0,136385,146818,LookCenter,136705,139361,2656,LookCenter,139380,140020,640,LookCenter,141405,144817,3412
RSAMB001,MBG_IDS,ORDER_1 (Simple),6,0,MaxLookAwayTime,No,27,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,146819,153205,2232,0,0,2232,0,148765,153205,LookCenter,148915,151103,2188,LookCenter,151159,151203,44
RSAMB001,MBG_IDS,ORDER_1 (Simple),7,0,MaxLookAwayTime,No,28,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,153206,161184,5049,0,0,5049,0,153743,161184,LookCenter,154068,158544,4476,LookCenter,158611,159184,573
RSAMB001,MBG_IDS,ORDER_1 (Simple),8,0,MaxLookAwayTime,No,29,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,161186,180008,6640,0,0,6640,0,171317,180008,LookCenter,171368,178008,6640
RSAMB001,MBG_IDS,ORDER_1 (Simple),9,0,MaxLookAwayTime,No,30,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,180009,195913,4603,0,0,4603,0,188977,195913,LookCenter,189112,192505,3393,LookCenter,192598,192830,232,LookCenter,192934,193912,978
RSAMB001,MBG_IDS,ORDER_1 (Simple),10,0,MaxLookAwayTime,No,31,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,195914,209717,7039,0,220,6819,0,198180,209717,LookLeft,198425,198645,220,LookCenter,198710,202605,3895,LookCenter,203812,205575,1763,LookCenter,206555,207716,1161
RSAMB001,MBG_IDS,ORDER_1 (Simple),11,0,MaxLookAwayTime,No,32,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,209718,217500,2647,0,0,2647,0,212751,217500,LookCenter,212751,212820,69,LookCenter,212921,215499,2578
RSAMB001,MBG_IDS,ORDER_1 (Simple),12,0,MaxLookAwayTime,No,33,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,217501,247856,9775,0,0,9775,0,235974,247856,LookCenter,236080,245855,9775
RSAMB001,MBG_IDS,ORDER_1 (Simple),13,0,MaxLookAwayTime,No,34,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,247858,256894,1809,0,0,1809,0,252997,256894,LookCenter,253084,254893,1809
RSAMB001,MBG_IDS,ORDER_1 (Simple),14,0,MaxLookAwayTime,No,35,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,256896,271553,8474,0,0,8474,0,260948,271553,LookCenter,261077,269551,8474
RSAMB001,MBG_IDS,ORDER_1 (Simple),15,0,MaxLookAwayTime,No,36,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,271554,284673,6604,0,0,6604,0,276019,284673,LookCenter,276069,282673,6604
RSAMB001,MBG_IDS,ORDER_1 (Simple),16,0,MaxLookAwayTime,No,37,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,284674,294612,1956,0,0,1956,0,290617,294612,LookCenter,290656,292612,1956
RSAMB001,MBG_IDS,ORDER_1 (Simple),17,0,MaxLookAwayTime,No,38,ADS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,294614,306799,6282,0,0,6282,0,298433,306799,LookCenter,298517,304799,6282
RSAMB001,MBG_IDS,ORDER_1 (Simple),18,0,MaxLookAwayTime,No,39,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,306799,335007,5092,0,0,5092,0,327755,335007,LookCenter,327915,333007,5092

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,1,3,1,TRUE,LookCenter,63512,64267,755
MBG_IDS,1,3,2,TRUE,LookCenter,64980,69196,4216
MBG_IDS,1,3,3,TRUE,LookCenter,70532,74484,3952
MBG_IDS,2,0,1,TRUE,LookCenter,77256,82597,5341
MBG_IDS,2,0,2,TRUE,LookCenter,83409,83570,161
MBG_IDS,2,0,3,TRUE,LookCenter,83584,83864,280
MBG_IDS,2,0,4,TRUE,LookCenter,84548,87463,2915
MBG_IDS,2,0,5,TRUE,LookCenter,87777,94544,6767
MBG_IDS,3,0,1,TRUE,LookCenter,97715,114995,17280
MBG_IDS,4,0,1,TRUE,LookCenter,116642,133282,16640
MBG_IDS,5,0,1,TRUE,LookCenter,136705,139361,2656
MBG_IDS,5,0,2,TRUE,LookCenter,139380,140020,640
MBG_IDS,5,0,3,TRUE,LookCenter,141405,144817,3412
MBG_IDS,6,0,1,TRUE,LookCenter,148915,151103,2188
MBG_IDS,6,0,2,TRUE,LookCenter,151159,151203,44
MBG_IDS,7,0,1,TRUE,LookCenter,154068,158544,4476
MBG_IDS,7,0,2,TRUE,LookCenter,158611,159184,573
MBG_IDS,8,0,1,TRUE,LookCenter,171368,178008,6640
MBG_IDS,9,0,1,TRUE,LookCenter,189112,192505,3393
MBG_IDS,9,0,2,TRUE,LookCenter,192598,192830,232
MBG_IDS,9,0,3,TRUE,LookCenter,192934,193912,978
MBG_IDS,10,0,1,TRUE,LookLeft,198425,198645,220
MBG_IDS,10,0,2,TRUE,LookCenter,198710,202605,3895
MBG_IDS,10,0,3,TRUE,LookCenter,203812,205575,1763
MBG_IDS,10,0,4,TRUE,LookCenter,206555,207716,1161
MBG_IDS,11,0,1,TRUE,LookCenter,212751,212820,69
MBG_IDS,11,0,2,TRUE,LookCenter,212921,215499,2578
MBG_IDS,12,0,1,TRUE,LookCenter,236080,245855,9775
MBG_IDS,13,0,1,TRUE,LookCenter,253084,254893,1809
MBG_IDS,14,0,1,TRUE,LookCenter,261077,269551,8474
MBG_IDS,15,0,1,TRUE,LookCenter,276069,282673,6604
MBG_IDS,16,0,1,TRUE,LookCenter,290656,292612,1956
MBG_IDS,17,0,1,TRUE,LookCenter,298517,304799,6282
MBG_IDS,18,0,1,TRUE,LookCenter,327915,333007,5092
