SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
RSAMB028,MBG_IDS,ORDER_2 (Simple),1,0,MaxLookAwayTime,No,22,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1178367,1352372,3929,0,0,3929,0,1346332,1352372,LookCenter,1346443,1350372,3929
RSAMB028,MBG_IDS,ORDER_2 (Simple),2,0,AGAbort,No,0,,,,,,,1352374,1357718,0,0,0,0,0,0,1357718
RSAMB028,MBG_IDS,ORDER_2 (Simple),2,1,MaxLookAwayTime,No,23,IDS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1357718,1364907,3090,0,0,3090,0,1359575,1364907,LookCenter,1359816,1362906,3090
RSAMB028,MBG_IDS,ORDER_2 (Simple),3,0,MaxLookAwayTime,No,24,IDS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1364909,1380982,9566,0,0,9566,0,1369245,1380982,LookCenter,1369416,1378982,9566
RSAMB028,MBG_IDS,ORDER_2 (Simple),4,0,MaxStimulusTime,No,25,IDS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1380983,1402847,17914,0,0,17914,0,1384847,1402847,LookCenter,1384933,1402847,17914
RSAMB028,MBG_IDS,ORDER_2 (Simple),5,0,MaxLookAwayTime,No,26,Train_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1402849,1413985,8120,0,0,8120,0,1403535,1413985,LookCenter,1403865,1411985,8120
RSAMB028,MBG_IDS,ORDER_2 (Simple),6,0,MaxLookAwayTime,No,27,IDS_7,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1413987,1421468,4305,0,0,4305,0,1415123,1421468,LookCenter,1415162,1419467,4305
RSAMB028,MBG_IDS,ORDER_2 (Simple),7,0,MaxLookAwayTime,No,28,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1421470,1448431,6307,0,0,6307,0,1440045,1448431,LookCenter,1440124,1446431,6307
RSAMB028,MBG_IDS,ORDER_2 (Simple),8,0,MaxStimulusTime,No,29,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1448433,1467791,16993,0,0,16993,0,1449790,1467790,LookCenter,1449817,1466810,16993
RSAMB028,MBG_IDS,ORDER_2 (Simple),9,0,MaxStimulusTime,No,30,ADS_8,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1467793,1486849,17350,0,0,17350,0,1468847,1486849,LookCenter,1468951,1486301,17350
RSAMB028,MBG_IDS,ORDER_2 (Simple),10,0,MaxLookAwayTime,No,31,ADS_4,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1486850,1529104,10470,0,0,10470,0,1516574,1529104,LookCenter,1516634,1527104,10470
RSAMB028,MBG_IDS,ORDER_2 (Simple),11,0,MaxLookAwayTime,No,32,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1529106,1539530,6808,0,0,6808,0,1530177,1539530,LookCenter,1530253,1534567,4314,LookCenter,1535035,1537529,2494
RSAMB028,MBG_IDS,ORDER_2 (Simple),12,0,MaxLookAwayTime,No,33,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1539531,1544532,1695,0,0,1695,0,1540740,1544532,LookCenter,1540836,1542531,1695
RSAMB028,MBG_IDS,ORDER_2 (Simple),13,0,MaxLookAwayTime,No,34,ADS_3,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1544533,1550360,2755,0,0,2755,0,1545584,1550360,LookCenter,1545603,1548358,2755
RSAMB028,MBG_IDS,ORDER_2 (Simple),14,0,MaxLookAwayTime,No,35,IDS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1550363,1564996,10405,0,0,10405,0,1552544,1564996,LookCenter,1552591,1562996,10405
RSAMB028,MBG_IDS,ORDER_2 (Simple),15,0,MaxLookAwayTime,No,36,IDS_2,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1564998,1570577,2641,0,0,2641,0,1565902,1570577,LookCenter,1565936,1568577,2641
RSAMB028,MBG_IDS,ORDER_2 (Simple),16,0,MaxLookAwayTime,No,37,IDS_6,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1570579,1576748,3409,0,0,3409,0,1571304,1576748,LookCenter,1571338,1574747,3409
RSAMB028,MBG_IDS,ORDER_2 (Simple),17,0,MaxLookAwayTime,No,38,ADS_1,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1576749,1586146,4369,0,0,4369,0,1579750,1586146,LookCenter,1579777,1584146,4369
RSAMB028,MBG_IDS,ORDER_2 (Simple),18,0,MaxLookAwayTime,No,39,ADS_5,,,C:/Users/ManyBabies Africa/Desktop/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,1586146,1598282,8561,0,0,8561,0,1587676,1598282,LookCenter,1587721,1596282,8561

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,1,0,1,TRUE,LookCenter,1346443,1350372,3929
MBG_IDS,2,1,1,TRUE,LookCenter,1359816,1362906,3090
MBG_IDS,3,0,1,TRUE,LookCenter,1369416,1378982,9566
MBG_IDS,4,0,1,TRUE,LookCenter,1384933,1402847,17914
MBG_IDS,5,0,1,TRUE,LookCenter,1403865,1411985,8120
MBG_IDS,6,0,1,TRUE,LookCenter,1415162,1419467,4305
MBG_IDS,7,0,1,TRUE,LookCenter,1440124,1446431,6307
MBG_IDS,8,0,1,TRUE,LookCenter,1449817,1466810,16993
MBG_IDS,9,0,1,TRUE,LookCenter,1468951,1486301,17350
MBG_IDS,10,0,1,TRUE,LookCenter,1516634,1527104,10470
MBG_IDS,11,0,1,TRUE,LookCenter,1530253,1534567,4314
MBG_IDS,11,0,2,TRUE,LookCenter,1535035,1537529,2494
MBG_IDS,12,0,1,TRUE,LookCenter,1540836,1542531,1695
MBG_IDS,13,0,1,TRUE,LookCenter,1545603,1548358,2755
MBG_IDS,14,0,1,TRUE,LookCenter,1552591,1562996,10405
MBG_IDS,15,0,1,TRUE,LookCenter,1565936,1568577,2641
MBG_IDS,16,0,1,TRUE,LookCenter,1571338,1574747,3409
MBG_IDS,17,0,1,TRUE,LookCenter,1579777,1584146,4369
MBG_IDS,18,0,1,TRUE,LookCenter,1587721,1596282,8561
