SubjectID,Phase,Order (randomization),Trial,Repeat,EndType,Habituated,StimID,StimName,StimLabel,Left,Center,Right,ISS,Trial Start,Trial End,TotalLook,TotalLookAway,TotalLeft,TotalCenter,TotalRight,LookEnabled,LookDisabled,Looks
MKKENYK0005,MBG_IDS,ORDER_1 (none),1,0,MaxLookAwayTime,No,22,Train_1,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2680154,2692022,6822,0,0,6822,0,2682022,2692022,LookCenter,2682349,2685958,3609,LookCenter,2686808,2690021,3213
MKKENYK0005,MBG_IDS,ORDER_1 (none),2,0,MaxStimulusTime,No,23,Train_2,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2692023,2711303,16163,0,0,16163,0,2693303,2711303,LookCenter,2693571,2702067,8496,LookCenter,2702794,2706736,3942,LookCenter,2707578,2711303,3725
MKKENYK0005,MBG_IDS,ORDER_1 (none),3,0,MaxStimulusTime,No,24,IDS_1,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2711305,2730576,13854,0,0,13854,0,2712576,2730576,LookCenter,2712869,2719580,6711,LookCenter,2720359,2721108,749,LookCenter,2722209,2722863,654,LookCenter,2723368,2726642,3274,LookCenter,2727363,2729346,1983,LookCenter,2730093,2730576,483
MKKENYK0005,MBG_IDS,ORDER_1 (none),4,0,MaxLookAwayTime,No,25,ADS_1,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2730578,2746130,9720,0,0,9720,0,2731653,2746130,LookCenter,2731923,2737372,5449,LookCenter,2739123,2742832,3709,LookCenter,2743568,2744130,562
MKKENYK0005,MBG_IDS,ORDER_1 (none),5,0,MaxStimulusTime,No,26,IDS_2,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2746132,2765208,14932,0,0,14932,0,2747208,2765208,LookCenter,2747450,2753180,5730,LookCenter,2753752,2754775,1023,LookCenter,2755550,2759867,4317,LookCenter,2761346,2765208,3862
MKKENYK0005,MBG_IDS,ORDER_1 (none),6,0,MaxLookAwayTime,No,27,ADS_2,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2765210,2776935,6391,0,0,6391,0,2766543,2776935,LookCenter,2766928,2771321,4393,LookCenter,2772937,2774935,1998
MKKENYK0005,MBG_IDS,ORDER_1 (none),7,0,MaxStimulusTime,No,28,ADS_3,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2776937,2796153,11254,0,0,11254,0,2778153,2796153,LookCenter,2778571,2782555,3984,LookCenter,2784127,2784868,741,LookCenter,2786124,2786724,600,LookCenter,2787913,2790409,2496,LookCenter,2791817,2793572,1755,LookCenter,2794475,2796153,1678
MKKENYK0005,MBG_IDS,ORDER_1 (none),8,0,MaxStimulusTime,No,29,IDS_3,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2796154,2816112,12060,0,0,12060,0,2798112,2816112,LookCenter,2798639,2804366,5727,LookCenter,2805974,2806662,688,LookCenter,2807456,2808549,1093,LookCenter,2809950,2812224,2274,LookCenter,2812801,2814044,1243,LookCenter,2815077,2816112,1035
MKKENYK0005,MBG_IDS,ORDER_1 (none),9,0,MaxLookAwayTime,No,30,IDS_4,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2816114,2825476,5344,0,0,5344,0,2817876,2825476,LookCenter,2818131,2823475,5344
MKKENYK0005,MBG_IDS,ORDER_1 (none),10,0,MaxLookAwayTime,No,31,ADS_4,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2825477,2835662,6116,0,0,6116,0,2826661,2835662,LookCenter,2826884,2830146,3262,LookCenter,2830807,2833661,2854
MKKENYK0005,MBG_IDS,ORDER_1 (none),11,0,MaxLookAwayTime,No,32,ADS_5,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2835663,2843494,4561,0,0,4561,0,2836679,2843494,LookCenter,2836933,2841494,4561
MKKENYK0005,MBG_IDS,ORDER_1 (none),12,0,MaxLookAwayTime,No,33,IDS_5,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2843496,2850343,3353,0,0,3353,0,2844707,2850343,LookCenter,2844990,2848343,3353
MKKENYK0005,MBG_IDS,ORDER_1 (none),13,0,MaxStimulusTime,No,34,ADS_6,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2850344,2869611,13905,0,0,13905,0,2851611,2869611,LookCenter,2851928,2855878,3950,LookCenter,2857408,2859049,1641,LookCenter,2860275,2861130,855,LookCenter,2861810,2869269,7459
MKKENYK0005,MBG_IDS,ORDER_1 (none),14,0,MaxLookAwayTime,No,35,IDS_6,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2869613,2875947,2831,0,0,2831,0,2870812,2875947,LookCenter,2871115,2873946,2831
MKKENYK0005,MBG_IDS,ORDER_1 (none),15,0,MaxStimulusTime,No,36,IDS_7,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2875950,2895216,12023,0,0,12023,0,2877215,2895216,LookCenter,2877423,2880045,2622,LookCenter,2882023,2883544,1521,LookCenter,2884569,2885152,583,LookCenter,2886810,2888412,1602,LookCenter,2889000,2891498,2498,LookCenter,2892018,2895215,3197
MKKENYK0005,MBG_IDS,ORDER_1 (none),16,0,MaxLookAwayTime,No,37,ADS_7,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2895217,2908883,7390,0,0,7390,0,2897310,2908883,LookCenter,2897636,2902730,5094,LookCenter,2903586,2904720,1134,LookCenter,2905720,2906882,1162
MKKENYK0005,MBG_IDS,ORDER_1 (none),17,0,MaxLookAwayTime,No,38,ADS_8,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2908885,2915636,3145,0,0,3145,0,2910241,2915636,LookCenter,2910490,2913635,3145
MKKENYK0005,MBG_IDS,ORDER_1 (none),18,0,MaxLookAwayTime,No,39,IDS_8,,,C:/Users/ManyBabies Africa/Documents/habit/stim/MB1 stimuli/Visual Stimuli/checkerboard (target).jpg,,,2915637,2923605,4370,0,0,4370,0,2916878,2923605,LookCenter,2917235,2921605,4370

Phase,Trial,Repeat,Num,Complete,Direction,Start,End,Diff
MBG_IDS,1,0,1,TRUE,LookCenter,2682349,2685958,3609
MBG_IDS,1,0,2,TRUE,LookCenter,2686808,2690021,3213
MBG_IDS,2,0,1,TRUE,LookCenter,2693571,2702067,8496
MBG_IDS,2,0,2,TRUE,LookCenter,2702794,2706736,3942
MBG_IDS,2,0,3,TRUE,LookCenter,2707578,2711303,3725
MBG_IDS,3,0,1,TRUE,LookCenter,2712869,2719580,6711
MBG_IDS,3,0,2,TRUE,LookCenter,2720359,2721108,749
MBG_IDS,3,0,3,TRUE,LookCenter,2722209,2722863,654
MBG_IDS,3,0,4,TRUE,LookCenter,2723368,2726642,3274
MBG_IDS,3,0,5,TRUE,LookCenter,2727363,2729346,1983
MBG_IDS,3,0,6,TRUE,LookCenter,2730093,2730576,483
MBG_IDS,4,0,1,TRUE,LookCenter,2731923,2737372,5449
MBG_IDS,4,0,2,TRUE,LookCenter,2739123,2742832,3709
MBG_IDS,4,0,3,TRUE,LookCenter,2743568,2744130,562
MBG_IDS,5,0,1,TRUE,LookCenter,2747450,2753180,5730
MBG_IDS,5,0,2,TRUE,LookCenter,2753752,2754775,1023
MBG_IDS,5,0,3,TRUE,LookCenter,2755550,2759867,4317
MBG_IDS,5,0,4,TRUE,LookCenter,2761346,2765208,3862
MBG_IDS,6,0,1,TRUE,LookCenter,2766928,2771321,4393
MBG_IDS,6,0,2,TRUE,LookCenter,2772937,2774935,1998
MBG_IDS,7,0,1,TRUE,LookCenter,2778571,2782555,3984
MBG_IDS,7,0,2,TRUE,LookCenter,2784127,2784868,741
MBG_IDS,7,0,3,TRUE,LookCenter,2786124,2786724,600
MBG_IDS,7,0,4,TRUE,LookCenter,2787913,2790409,2496
MBG_IDS,7,0,5,TRUE,LookCenter,2791817,2793572,1755
MBG_IDS,7,0,6,TRUE,LookCenter,2794475,2796153,1678
MBG_IDS,8,0,1,TRUE,LookCenter,2798639,2804366,5727
MBG_IDS,8,0,2,TRUE,LookCenter,2805974,2806662,688
MBG_IDS,8,0,3,TRUE,LookCenter,2807456,2808549,1093
MBG_IDS,8,0,4,TRUE,LookCenter,2809950,2812224,2274
MBG_IDS,8,0,5,TRUE,LookCenter,2812801,2814044,1243
MBG_IDS,8,0,6,TRUE,LookCenter,2815077,2816112,1035
MBG_IDS,9,0,1,TRUE,LookCenter,2818131,2823475,5344
MBG_IDS,10,0,1,TRUE,LookCenter,2826884,2830146,3262
MBG_IDS,10,0,2,TRUE,LookCenter,2830807,2833661,2854
MBG_IDS,11,0,1,TRUE,LookCenter,2836933,2841494,4561
MBG_IDS,12,0,1,TRUE,LookCenter,2844990,2848343,3353
MBG_IDS,13,0,1,TRUE,LookCenter,2851928,2855878,3950
MBG_IDS,13,0,2,TRUE,LookCenter,2857408,2859049,1641
MBG_IDS,13,0,3,TRUE,LookCenter,2860275,2861130,855
MBG_IDS,13,0,4,TRUE,LookCenter,2861810,2869269,7459
MBG_IDS,14,0,1,TRUE,LookCenter,2871115,2873946,2831
MBG_IDS,15,0,1,TRUE,LookCenter,2877423,2880045,2622
MBG_IDS,15,0,2,TRUE,LookCenter,2882023,2883544,1521
MBG_IDS,15,0,3,TRUE,LookCenter,2884569,2885152,583
MBG_IDS,15,0,4,TRUE,LookCenter,2886810,2888412,1602
MBG_IDS,15,0,5,TRUE,LookCenter,2889000,2891498,2498
MBG_IDS,15,0,6,TRUE,LookCenter,2892018,2895215,3197
MBG_IDS,16,0,1,TRUE,LookCenter,2897636,2902730,5094
MBG_IDS,16,0,2,TRUE,LookCenter,2903586,2904720,1134
MBG_IDS,16,0,3,TRUE,LookCenter,2905720,2906882,1162
MBG_IDS,17,0,1,TRUE,LookCenter,2910490,2913635,3145
MBG_IDS,18,0,1,TRUE,LookCenter,2917235,2921605,4370
